job_id,title,company_name,location,date_posted,industry,job_type,job_level,extracted_skills,salary_min,salary_max,salary_currency,is_data_role,url,ingested_at,salary_midpoint
arbeitnow_operations-associate-london-276994,Operations Associate,Airspeed,London,2026-09-17,Finance,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/airspeed/operations-associate-london-276994,2026-09-17T09:56:44Z,
arbeitnow_research-intern-london-464944,Research Intern (London),Voleon,London,2026-09-17,Research,Intern,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/voleon/research-intern-london-464944,2026-09-17T09:56:44Z,
arbeitnow_systems-associate-graduate-entry-level-opportunity-london-172049,Systems Associate (Graduate/Entry-level opportunity),hyperexponential,London (hybrid),2026-09-17,Central Functions,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/hyperexponential/systems-associate-graduate-entry-level-opportunity-london-172049,2026-09-17T09:56:44Z,
arbeitnow_associate-solutions-architect-london-472868,Associate Solutions Architect,anthropic,London,2026-09-16,Applied AI,,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/anthropic/associate-solutions-architect-london-472868,2026-09-17T09:56:44Z,
arbeitnow_junior-commercial-insights-analyst-london-444653,Junior Commercial Insights Analyst,Quantum,London,2026-09-16,Finance,Full Time,,"SQL, Power BI, Tableau, Excel",,,,1,https://www.arbeitnow.co.uk/jobs/companies/quantum/junior-commercial-insights-analyst-london-444653,2026-09-17T09:56:44Z,
jobicy_153414,Cobalt Core Pentester,Cobalt,Anywhere,2026-09-16,Cybersecurity,Part-Time,"Entry-Level, Junior",,,,,0,https://jobicy.com/jobs/153414-cobalt-core-pentester,2026-09-17T09:56:43Z,
jobicy_153419,"Cobalt Core Pentester - UK, Germany, Nordics",Cobalt,"Denmark,  Finland,  Germany,  Norway,  Sweden,  UK",2026-09-16,Cybersecurity,Part-Time,"Entry-Level, Junior",,,,,0,https://jobicy.com/jobs/153419-cobalt-core-pentester-uk-germany-nordics,2026-09-17T09:56:43Z,
remoteok_1137391,Junior Payroll Assistant,Sleek,Remote,2026-09-14,"payroll, virtual assistant, education, technical, supervisor, customer support, dev, marketing, exec, accounting, finance, video, junior, ops, excel, sys admin, digital nomad",,,Excel,0.0,0.0,,1,https://remoteOK.com/remote-jobs/remote-junior-payroll-assistant-sleek-1137391,2026-09-17T09:56:44Z,0.0
jobicy_152294,Data Engineer (Intern),Mactores,Anywhere,2026-09-01,Data Science & Analytics,Internship,"Entry-Level, Junior","SQL, Snowflake",,,,1,https://jobicy.com/jobs/152294-data-engineer-intern,2026-09-17T09:56:43Z,
remoteok_1136701,QA Tester Entry Level,Ace IT Careers,Remote,2026-08-15,"testing, dev, analyst, quality assurance, digital nomad",,,,0.0,0.0,,0,https://remoteOK.com/remote-jobs/remote-qa-tester-entry-level-ace-it-careers-1136701,2026-09-17T09:56:44Z,0.0
