job_id,title,company_name,location,date_posted,industry,job_type,job_level,extracted_skills,salary_min,salary_max,salary_currency,is_data_role,url,ingested_at,salary_midpoint
arbeitnow_account-executive-enterprise-emea-london-2703,Account Executive Enterprise EMEA,1Password,"London, UK",2026-09-22,GTM,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/1password/account-executive-enterprise-emea-london-2703,2026-09-22T13:57:01Z,
arbeitnow_account-executive-mid-market-emea-london-290667,"Account Executive, Mid Market, EMEA",Harvey,London,2026-09-22,Go to Market,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/harvey/account-executive-mid-market-emea-london-290667,2026-09-22T13:57:01Z,
arbeitnow_account-executive-mid-market-italian-speaker-london-408546,"Account Executive, Mid Market (Italian Speaker)",Harvey,London,2026-09-22,Go to Market,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/harvey/account-executive-mid-market-italian-speaker-london-408546,2026-09-22T13:57:01Z,
arbeitnow_ai-product-engineer-deployed-london-375581,"AI Product Engineer, Deployed",Brainco,London,2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/brainco/ai-product-engineer-deployed-london-375581,2026-09-22T13:57:01Z,
arbeitnow_analyst-customer-trust-london-114096,"Analyst, Customer Trust",Harvey,London,2026-09-22,Security,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/harvey/analyst-customer-trust-london-114096,2026-09-22T13:57:01Z,
arbeitnow_analytics-engineer-london-56263,Analytics Engineer,Zego,London,2026-09-22,Data & Engineering,Full Time,,"SQL, Python, Snowflake, dbt",,,,1,https://www.arbeitnow.co.uk/jobs/companies/zego/analytics-engineer-london-56263,2026-09-22T13:57:01Z,
arbeitnow_android-developer-ai-finance-agent-london-227353,Android Developer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/android-developer-ai-finance-agent-london-227353,2026-09-22T13:57:01Z,
arbeitnow_android-developer-ai-finance-agent-london-487482,Android Developer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/android-developer-ai-finance-agent-london-487482,2026-09-22T13:57:01Z,
arbeitnow_android-software-engineer-ai-finance-agent-london-288701,Android Software Engineer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/android-software-engineer-ai-finance-agent-london-288701,2026-09-22T13:57:01Z,
arbeitnow_android-software-engineer-ai-neobank-app-london-443445,Android Software Engineer - AI Neobank App,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/android-software-engineer-ai-neobank-app-london-443445,2026-09-22T13:57:01Z,
arbeitnow_android-software-engineer-london-165036,Android Software Engineer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,SQL,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/android-software-engineer-london-165036,2026-09-22T13:57:01Z,
arbeitnow_applied-ai-engineer-ai-finance-agent-london-231047,Applied AI Engineer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/applied-ai-engineer-ai-finance-agent-london-231047,2026-09-22T13:57:01Z,
arbeitnow_applied-ai-engineer-london-148898,Applied AI Engineer,Bjak,United Kingdom,2026-09-22,ActAI Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/applied-ai-engineer-london-148898,2026-09-22T13:57:01Z,
arbeitnow_applied-ai-engineer-london-68405,Applied AI Engineer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/applied-ai-engineer-london-68405,2026-09-22T13:57:01Z,
arbeitnow_associate-commercial-counsel-london-375538,"Associate Commercial Counsel, London",Harvey,London,2026-09-22,Legal,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/harvey/associate-commercial-counsel-london-375538,2026-09-22T13:57:01Z,
arbeitnow_backend-developer-london-141101,Backend Developer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/backend-developer-london-141101,2026-09-22T13:57:01Z,
arbeitnow_backend-developer-london-422837,Backend Developer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/backend-developer-london-422837,2026-09-22T13:57:01Z,
arbeitnow_backend-software-engineer-ai-finance-agent-london-326626,Backend Software Engineer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/backend-software-engineer-ai-finance-agent-london-326626,2026-09-22T13:57:01Z,
arbeitnow_bilanzbuchhalterin-all-genders-germany-474398,Bilanzbuchhalter:in (all genders),Integral De,Remote,2026-09-22,Tax & Accounting,Full Time,,,,,,0,https://www.arbeitnow.com/jobs/companies/integral-de/bilanzbuchhalterin-all-genders-germany-474398,2026-09-22T13:57:01Z,
arbeitnow_business-intelligence-gtm-ai-associate-united-kingdom-116082,Business Intelligence & GTM AI Associate,Primer.io,United Kingdom,2026-09-22,Operations,Full Time,,"SQL, Python, Snowflake, dbt",,,,1,https://www.arbeitnow.co.uk/jobs/companies/primerio/business-intelligence-gtm-ai-associate-united-kingdom-116082,2026-09-22T13:57:01Z,
arbeitnow_business-operations-associate-london-292749,Business Operations Associate,Bjak,United Kingdom,2026-09-22,CEO Office,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/business-operations-associate-london-292749,2026-09-22T13:57:01Z,
arbeitnow_business-operations-associate-london-33672,Business Operations Associate,Bjak,United Kingdom,2026-09-22,ActAI CEO Office,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/business-operations-associate-london-33672,2026-09-22T13:57:01Z,
arbeitnow_creative-technologist-london-75044,Creative Technologist,Lumaai,"London, UK",2026-09-22,Go-To-Market,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/lumaai/creative-technologist-london-75044,2026-09-22T13:57:01Z,
arbeitnow_customer-support-executive-london-469732,Customer Support Executive,Zego,London,2026-09-22,Customer Operations,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/zego/customer-support-executive-london-469732,2026-09-22T13:57:01Z,
arbeitnow_cybersecurity-engineer-london-181425,Cybersecurity Engineer,Janestreet,London,2026-09-22,Cybersecurity,,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/janestreet/cybersecurity-engineer-london-181425,2026-09-22T13:57:01Z,
arbeitnow_cybersecurity-engineer-threat-modelling-london-392640,Cybersecurity Engineer - Threat Modelling,Janestreet,London,2026-09-22,Cybersecurity,,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/janestreet/cybersecurity-engineer-threat-modelling-london-392640,2026-09-22T13:57:01Z,
arbeitnow_data-centre-engineer-london-70214,Data Centre Engineer,Janestreet,London,2026-09-22,Network Engineering,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/data-centre-engineer-london-70214,2026-09-22T13:57:01Z,
arbeitnow_data-engineer-london-15656,Data Engineer,Janestreet,London,2026-09-22,Software Engineering,,,"SQL, Python",,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/data-engineer-london-15656,2026-09-22T13:57:01Z,
arbeitnow_data-engineer-london-345565,Data Engineer,Zego,London,2026-09-22,Data & Engineering,Full Time,,"SQL, Python, Snowflake, dbt",,,,1,https://www.arbeitnow.co.uk/jobs/companies/zego/data-engineer-london-345565,2026-09-22T13:57:01Z,
arbeitnow_engineer-platform-london-277641,Engineer - Platform,Trainline,London,2026-09-22,Technology,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/trainline/engineer-platform-london-277641,2026-09-22T13:57:01Z,
arbeitnow_enterprise-account-executive-ai-london-304350,Enterprise Account Executive (AI),ImagineArt,London,2026-09-22,Growth & Marketing,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/imagineart/enterprise-account-executive-ai-london-304350,2026-09-22T13:57:01Z,
arbeitnow_enterprise-account-executive-ai-united-kingdom-55249,Enterprise Account Executive (AI),ImagineArt,United Kingdom,2026-09-22,Growth & Marketing,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/imagineart/enterprise-account-executive-ai-united-kingdom-55249,2026-09-22T13:57:01Z,
arbeitnow_enterprise-account-executive-uk-273408,Enterprise Account Executive,Salesape Ai,UK,2026-09-22,Sales,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/salesape-ai/enterprise-account-executive-uk-273408,2026-09-22T13:57:01Z,
arbeitnow_forward-deployed-ai-engineer-london-411783,Forward Deployed AI Engineer (London),Edra,London,2026-09-22,AI,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/edra/forward-deployed-ai-engineer-london-411783,2026-09-22T13:57:01Z,
arbeitnow_founders-associate-london-113849,Founder's Associate,Bjak,United Kingdom,2026-09-22,ActAI CEO Office,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/founders-associate-london-113849,2026-09-22T13:57:01Z,
arbeitnow_freelance-seo-geo-consultant-fur-3-monate-kiel-312538,Freelance SEO/GEO Consultant (m/w/d) für 3 Monate,Lorenz & Fuchs GbR,"Kiel, Remote",2026-09-22,"Remote, Online Marketing","Freelance, berufserfahren",,,,,,0,https://www.arbeitnow.com/jobs/companies/lorenz-fuchs-gbr/freelance-seo-geo-consultant-fur-3-monate-kiel-312538,2026-09-22T13:57:01Z,
arbeitnow_front-end-software-engineer-london-58385,Front End Software Engineer,Janestreet,London,2026-09-22,Software Engineering,,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/janestreet/front-end-software-engineer-london-58385,2026-09-22T13:57:01Z,
arbeitnow_full-stack-engineer-bath-362761,Full Stack Engineer,Salesape Ai,Remote - UK,2026-09-22,Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/salesape-ai/full-stack-engineer-bath-362761,2026-09-22T13:57:01Z,
arbeitnow_full-stack-engineer-london-414686,Full Stack Engineer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/bjak/full-stack-engineer-london-414686,2026-09-22T13:57:01Z,
arbeitnow_grafikdesigner-e-commerce-mit-ai-erfahrung-minijob-basis-olpe-207092,Grafikdesigner E-Commerce mit AI-Erfahrung Minijob Basis (m/w/d),Thiru GmbH,"Olpe, Remote",2026-09-22,"Remote, Marketing and Communication",Side,,,,,,0,https://www.arbeitnow.com/jobs/companies/thiru-gmbh/grafikdesigner-e-commerce-mit-ai-erfahrung-minijob-basis-olpe-207092,2026-09-22T13:57:01Z,
arbeitnow_infrastructure-engineer-london-327729,Infrastructure Engineer,Olix,"London, UK",2026-09-22,Engineering,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/olix/infrastructure-engineer-london-327729,2026-09-22T13:57:01Z,
arbeitnow_infrastructure-support-engineer-contract-london-319672,Infrastructure Support Engineer - Contract,Olix,"London, UK",2026-09-22,Engineering,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/olix/infrastructure-support-engineer-contract-london-319672,2026-09-22T13:57:01Z,
arbeitnow_ios-developer-ai-finance-agent-london-361168,iOS Developer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/ios-developer-ai-finance-agent-london-361168,2026-09-22T13:57:01Z,
arbeitnow_ios-developer-ai-finance-agent-london-72584,iOS Developer - AI Finance Agent,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/ios-developer-ai-finance-agent-london-72584,2026-09-22T13:57:01Z,
arbeitnow_ios-developer-london-427114,iOS Developer,Bjak,United Kingdom,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/bjak/ios-developer-london-427114,2026-09-22T13:57:01Z,
arbeitnow_it-security-engineer-london-69639,IT Security Engineer,Janestreet,London,2026-09-22,IT and Systems Engineering,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/it-security-engineer-london-69639,2026-09-22T13:57:01Z,
arbeitnow_large-loss-claims-handler-london-191320,Large Loss Claims Handler,Zego,London,2026-09-22,Customer Operations,Full Time,,,,,,0,https://www.arbeitnow.co.uk/jobs/companies/zego/large-loss-claims-handler-london-191320,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-engineer-applied-ai-deployed-london-453293,"Machine Learning Engineer, Applied AI - Deployed",Brainco,London,2026-09-22,Engineering,Full Time,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/brainco/machine-learning-engineer-applied-ai-deployed-london-453293,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-engineer-london-45583,Machine Learning Engineer,Trainline,London,2026-09-22,Technology,Full Time,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/trainline/machine-learning-engineer-london-45583,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-performance-engineer-london-314506,Machine Learning Performance Engineer,Janestreet,London,2026-09-22,Machine Learning,,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-performance-engineer-london-314506,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-research-engineer-london-308850,Machine Learning Research Engineer,Janestreet,London,2026-09-22,Machine Learning,,,,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-research-engineer-london-308850,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-researcher-london-360708,Machine Learning Researcher,Janestreet,London,2026-09-22,Machine Learning,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-researcher-london-360708,2026-09-22T13:57:01Z,
arbeitnow_machine-learning-researcher-london-85548,Machine Learning Researcher,Janestreet,London,2026-09-22,Machine Learning,,,Python,,,,1,https://www.arbeitnow.co.uk/jobs/companies/janestreet/machine-learning-researcher-london-85548,2026-09-22T13:57:01Z,
