job_id,title,company_name,location,date_posted,industry,job_type,job_level,extracted_skills,salary_min,salary_max,salary_currency,is_data_role,url,ingested_at,salary_midpoint
146254,Atlassian Administrator 1726,Softgic,Anywhere,2026-09-17,DevOps & Infrastructure,Full-Time,Senior,"SQL, Python",,,,1,https://jobicy.com/jobs/146254-atlassian-administrator-1726,2026-09-17T09:49:50Z,
146303,Change Management Consultant,NTT DATA,LATAM,2026-09-17,Product & Operations,Full-Time,Midweight,,,,,0,https://jobicy.com/jobs/146303-change-management-consultant,2026-09-17T09:49:50Z,
146330,Customer Support Specialist III,Wrapbook,"Canada,  USA",2026-09-17,Customer Support & Success,Full-Time,Senior,,52000.0,83400.0,USD,0,https://jobicy.com/jobs/146330-customer-support-specialist-iii-2,2026-09-17T09:49:50Z,67700.0
146426,"Principal, Strategic Data Center Partnerships",Meta,USA,2026-09-17,Product & Operations,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/146426-principal-strategic-data-center-partnerships,2026-09-17T09:49:50Z,
146434,"AI Vendor Market Expert (Senior Director, Analyst – Fully Remote United States)",Gartner,USA,2026-09-17,Data Science & Analytics,Full-Time,Senior,,172000.0,202500.0,USD,1,https://jobicy.com/jobs/146434-ai-vendor-market-expert-senior-director-analyst-fully-remote-united-states,2026-09-17T09:49:50Z,187250.0
146851,Graduate Total Account Manager - Scientific Sales Auckland,Agilent Technologies,New Zealand,2026-09-17,Sales,Full-Time,"Entry-Level, Junior",,,,,0,https://jobicy.com/jobs/146851-graduate-total-account-manager-scientific-sales-auckland,2026-09-17T09:49:50Z,
150883,Contract Senior Front End Engineer,Fueled,Anywhere,2026-09-17,Software Engineering,Contract,Senior,,,,,0,https://jobicy.com/jobs/150883-contract-senior-front-end-engineer,2026-09-17T09:49:50Z,
150884,Accountant,Remote,"Portugal,  Spain",2026-09-17,Finance & Accounting,Full-Time,Director,Excel,45250.0,50900.0,EUR,1,https://jobicy.com/jobs/150884-accountant,2026-09-17T09:49:50Z,48075.0
150885,Contract Senior Web Engineer,Fueled,Anywhere,2026-09-17,Software Engineering,Contract,Senior,,,,,0,https://jobicy.com/jobs/150885-contract-senior-web-engineer,2026-09-17T09:49:50Z,
150886,Bilingual Licensed Insurance Advisor,PolicyMe,Canada,2026-09-17,Sales,Full-Time,Any,,88000.0,120000.0,CAD,0,https://jobicy.com/jobs/150886-bilingual-licensed-insurance-advisor,2026-09-17T09:49:50Z,104000.0
150887,Premium Creator Account Manager,Playbook,USA,2026-09-17,Customer Support & Success,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/150887-premium-creator-account-manager,2026-09-17T09:49:50Z,
150889,Bilingual Quebec Licensed Insurance Advisor,PolicyMe,Canada,2026-09-17,Sales,Full-Time,Any,,88000.0,120000.0,CAD,0,https://jobicy.com/jobs/150889-bilingual-quebec-licensed-insurance-advisor,2026-09-17T09:49:50Z,104000.0
150890,Sales Lead,Playbook,USA,2026-09-17,Sales,Full-Time,Senior,,,,,1,https://jobicy.com/jobs/150890-sales-lead,2026-09-17T09:49:50Z,
150892,Social Media Lead for Talent,Playbook,USA,2026-09-17,Marketing & Sales,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/150892-social-media-lead-for-talent,2026-09-17T09:49:50Z,
150893,Assessment Item Writer/Editor (CONTRACT),Instructure,USA,2026-09-17,Education & E-learning,Contract,Any,,,,,0,https://jobicy.com/jobs/150893-assessment-item-writer-editor-contract,2026-09-17T09:49:50Z,
150899,"Principal Product Manager, Accounts & Automation",PolicyMe,Canada,2026-09-17,Product & Operations,Full-Time,Director,,,,,0,https://jobicy.com/jobs/150899-principal-product-manager-accounts-automation,2026-09-17T09:49:50Z,
150901,Senior Software Engineer,PolicyMe,Canada,2026-09-17,Software Engineering,Full-Time,Senior,Python,154000.0,176000.0,CAD,1,https://jobicy.com/jobs/150901-senior-software-engineer-2,2026-09-17T09:49:50Z,165000.0
150902,Software Engineer,PolicyMe,Canada,2026-09-17,Software Engineering,Full-Time,Any,Python,110000.0,150000.0,CAD,1,https://jobicy.com/jobs/150902-software-engineer-4,2026-09-17T09:49:50Z,130000.0
150907,"Director, Software Engineering (AI Workflows & Ecosystem)",Jobber,Canada,2026-09-17,Software Engineering,Full-Time,Director,,221800.0,300100.0,CAD,0,https://jobicy.com/jobs/150907-director-software-engineering-ai-workflows-ecosystem,2026-09-17T09:49:50Z,260950.0
150908,Sr. Revenue Operations Manager,Instructure,UK,2026-09-17,Product & Operations,Full-Time,Director,"Tableau, Excel, Snowflake",96000.0,115000.0,GBP,1,https://jobicy.com/jobs/150908-sr-revenue-operations-manager,2026-09-17T09:49:50Z,105500.0
150910,Payments GTM (Go-to-Market) Operations and Strategy Lead,Jobber,Canada,2026-09-17,Product & Operations,Full-Time,Director,SQL,151200.0,204500.0,CAD,1,https://jobicy.com/jobs/150910-payments-gtm-go-to-market-operations-and-strategy-lead,2026-09-17T09:49:50Z,177850.0
150911,Decision Scientist,Instructure,Mexico,2026-09-17,Data Science & Analytics,Full-Time,Any,"SQL, Python, Power BI, Tableau, Snowflake",548000.0,685000.0,,1,https://jobicy.com/jobs/150911-decision-scientist,2026-09-17T09:49:50Z,616500.0
150914,"Director, AI Center of Excellence",Instructure,USA,2026-09-17,Product & Operations,Full-Time,Director,,200000.0,220000.0,USD,0,https://jobicy.com/jobs/150914-director-ai-center-of-excellence,2026-09-17T09:49:50Z,210000.0
150917,Actuarial Analyst,Clover Health,USA,2026-09-17,Finance & Accounting,Full-Time,Director,"SQL, Python, Excel",90000.0,110000.0,USD,1,https://jobicy.com/jobs/150917-actuarial-analyst,2026-09-17T09:49:50Z,100000.0
150919,AR & Collections Manager,AssetWatch,USA,2026-09-17,Finance & Accounting,Full-Time,Director,,92000.0,114000.0,USD,1,https://jobicy.com/jobs/150919-ar-collections-manager,2026-09-17T09:49:50Z,103000.0
150920,Account Executive II,Xometry,USA,2026-09-17,Sales,Full-Time,Director,,54000.0,70000.0,USD,0,https://jobicy.com/jobs/150920-account-executive-ii,2026-09-17T09:49:50Z,62000.0
150922,B2B Marketing Manager,AssetWatch,"Canada,  USA",2026-09-17,Marketing & Sales,Full-Time,Director,,100000.0,121000.0,USD,0,https://jobicy.com/jobs/150922-b2b-marketing-manager,2026-09-17T09:49:50Z,110500.0
150924,Business Development Representative,AssetWatch,USA,2026-09-17,Sales,Full-Time,Senior,,73000.0,80000.0,USD,0,https://jobicy.com/jobs/150924-business-development-representative-6,2026-09-17T09:49:50Z,76500.0
150929,Site Engineer,Vercel,USA,2026-09-17,"Web, UI & UX Design",Full-Time,Senior,,196000.0,294000.0,USD,0,https://jobicy.com/jobs/150929-site-engineer,2026-09-17T09:49:50Z,245000.0
150930,Senior Machine Learning Engineer,Sona,"Europe,  UK",2026-09-17,Data Science & Analytics,Full-Time,Senior,Python,95000.0,110000.0,GBP,1,https://jobicy.com/jobs/150930-senior-machine-learning-engineer,2026-09-17T09:49:50Z,102500.0
150932,Senior Operations Specialist,Precision Medicine Group,"Europe,  Romania",2026-09-17,Product & Operations,Full-Time,Senior,Excel,,,,1,https://jobicy.com/jobs/150932-senior-operations-specialist,2026-09-17T09:49:50Z,
150933,Senior Software Engineer (Elixir),Sona,"Europe,  UK",2026-09-17,Software Engineering,Full-Time,Senior,,85000.0,105000.0,GBP,0,https://jobicy.com/jobs/150933-senior-software-engineer-elixir,2026-09-17T09:49:50Z,95000.0
145935,Senior Software Engineer - Data Platform,Samsara,USA,2026-09-16,Software Engineering,Full-Time,Senior,"SQL, Python",130900.0,220000.0,USD,1,https://jobicy.com/jobs/145935-senior-software-engineer-data-platform-2,2026-09-17T09:49:50Z,175450.0
150836,Data Engineer,Gopuff,USA,2026-09-16,Data Science & Analytics,Full-Time,Any,"SQL, Python, Snowflake",118000.0,148000.0,USD,1,https://jobicy.com/jobs/150836-data-engineer,2026-09-17T09:49:50Z,133000.0
150863,Data Science Intern (Customer Success),Cresta,USA,2026-09-16,Data Science & Analytics,Full-Time,"Entry-Level, Junior","SQL, Python, Power BI, Tableau",,,,1,https://jobicy.com/jobs/150863-data-science-intern-customer-success,2026-09-17T09:49:50Z,
153378,Senior Engineering Manager [gn] Data Intelligence Platform,Actian,UK,2026-09-16,Software Engineering,Full-Time,Director,,,,,0,https://jobicy.com/jobs/153378-senior-engineering-manager-gn-data-intelligence-platform,2026-09-17T09:49:50Z,
153395,Brand & Community Manager,Tala,Mexico,2026-09-16,Marketing & Sales,Full-Time,Director,,,,,1,https://jobicy.com/jobs/153395-brand-community-manager,2026-09-17T09:49:50Z,
153397,"Engineering Manager, AI Transformation",Goodleap,USA,2026-09-16,Software Engineering,Full-Time,Senior,Python,169100.0,235700.0,USD,1,https://jobicy.com/jobs/153397-engineering-manager-ai-transformation,2026-09-17T09:49:50Z,202400.0
153398,Proposal Writer,Oddball,USA,2026-09-16,Content & Editorial,Full-Time,Director,Excel,110000.0,140000.0,USD,1,https://jobicy.com/jobs/153398-proposal-writer,2026-09-17T09:49:50Z,125000.0
153403,"Account Executive, Commercial - Chicago",Zscaler,USA,2026-09-16,Sales,Full-Time,Director,,90300.0,129000.0,USD,0,https://jobicy.com/jobs/153403-account-executive-commercial-chicago,2026-09-17T09:49:50Z,109650.0
153404,Senior Software Engineer (Home Energy),Enode,Europe,2026-09-16,Software Engineering,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/153404-senior-software-engineer-home-energy-2,2026-09-17T09:49:50Z,
153405,Demand Generation Manager - 4 Day Week + Remote,Laminar Projects,"Philippines,  Portugal",2026-09-16,Marketing & Sales,Full-Time,Senior,Excel,,,,1,https://jobicy.com/jobs/153405-demand-generation-manager-4-day-week-remote,2026-09-17T09:49:50Z,
153406,Senior Product Designer,Fieldguide,USA,2026-09-16,"Web, UI & UX Design",Full-Time,Director,,130000.0,160000.0,USD,0,https://jobicy.com/jobs/153406-senior-product-designer-12,2026-09-17T09:49:50Z,145000.0
153407,Marketing Operations and CRM Expert (Hubspot),Docplanner,Poland,2026-09-16,Marketing & Sales,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/153407-marketing-operations-and-crm-expert-hubspot-2,2026-09-17T09:49:50Z,
153408,"Account Executive, Commercial (Nagoya)",Zscaler,Japan,2026-09-16,Sales,Full-Time,Director,,,,,0,https://jobicy.com/jobs/153408-account-executive-commercial-nagoya,2026-09-17T09:49:50Z,
153409,Partnerships Manager,Enode,Europe,2026-09-16,Business Development,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/153409-partnerships-manager,2026-09-17T09:49:50Z,
153410,Vigilant IT Security Manager - Portugal/Poland,Laminar Projects,"Poland,  Portugal",2026-09-16,Cybersecurity,Full-Time,Senior,Excel,,,,1,https://jobicy.com/jobs/153410-vigilant-it-security-manager-portugal-poland,2026-09-17T09:49:50Z,
153411,Senior Performance Marketing Manager,Fieldguide,USA,2026-09-16,Marketing & Sales,Full-Time,Senior,SQL,150000.0,170000.0,USD,1,https://jobicy.com/jobs/153411-senior-performance-marketing-manager-2,2026-09-17T09:49:50Z,160000.0
153412,Junior Software Engineer – Early Career (Strong Problem solving & Coding Focus) – 100% Remote within Poland,Docplanner,Poland,2026-09-16,Software Engineering,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/153412-junior-software-engineer-early-career-strong-problem-solving-coding-focus-100-remote-within-poland,2026-09-17T09:49:50Z,
153413,Senior Financial Analyst,Dutchie,USA,2026-09-16,Finance & Accounting,Full-Time,Director,Excel,124000.0,166000.0,USD,1,https://jobicy.com/jobs/153413-senior-financial-analyst,2026-09-17T09:49:50Z,145000.0
153414,Cobalt Core Pentester,Cobalt,Anywhere,2026-09-16,Cybersecurity,Part-Time,"Entry-Level, Junior",,,,,0,https://jobicy.com/jobs/153414-cobalt-core-pentester,2026-09-17T09:49:50Z,
153415,"Commercial Account Executive, Acquisition | Switzerland | Remote",Grafana Labs,Switzerland,2026-09-16,Sales,Full-Time,Director,,170000.0,210000.0,CHF,0,https://jobicy.com/jobs/153415-commercial-account-executive-acquisition-switzerland-remote,2026-09-17T09:49:50Z,190000.0
153416,B2B Marketing Manager (ASEAN),Ajax Systems,APAC,2026-09-16,Marketing & Sales,Full-Time,Senior,,,,,0,https://jobicy.com/jobs/153416-b2b-marketing-manager-asean,2026-09-17T09:49:50Z,
153417,"Senior Infrastructure Engineer, Core Systems",QuickNode,"Portugal,  USA",2026-09-16,DevOps & Infrastructure,Full-Time,Senior,Python,,,,1,https://jobicy.com/jobs/153417-senior-infrastructure-engineer-core-systems,2026-09-17T09:49:50Z,
153418,"Senior Manager, Enterprise Customer Success",Dutchie,USA,2026-09-16,Customer Support & Success,Full-Time,Director,,111000.0,150000.0,USD,1,https://jobicy.com/jobs/153418-senior-manager-enterprise-customer-success-2,2026-09-17T09:49:50Z,130500.0
153419,"Cobalt Core Pentester - UK, Germany, Nordics",Cobalt,"Denmark,  Finland,  Germany,  Norway,  Sweden,  UK",2026-09-16,Cybersecurity,Part-Time,"Entry-Level, Junior",,,,,0,https://jobicy.com/jobs/153419-cobalt-core-pentester-uk-germany-nordics,2026-09-17T09:49:50Z,
